task_inputs-model,task_inputs-execution_type,task_inputs-GPU,task_inputs-n_gpus,task_inputs-precision,request_throughput-unit,request_throughput-avg,request_latency-unit,request_latency-avg,request_latency-p95,time_to_first_token-unit,time_to_first_token-avg,time_to_first_token-p95,inter_token_latency-unit,inter_token_latency-avg,inter_token_latency-p95,output_token_throughput-unit,output_token_throughput-avg,output_token_throughput_per_request-unit,output_token_throughput_per_request-avg,output_token_throughput_per_request-p95,num_output_token-unit,num_output_token-avg,num_output_token-p95,num_input_token-unit,num_input_token-avg,num_input_token-p95,input_config-model,input_config-backend,input_config-extra_inputs-max_tokens,input_config-stability_percentage,input_config-concurrency,input_config-synthetic_input_tokens_mean,input_config-synthetic_input_tokens_stddev,input_config-output_tokens_mean
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.5712048768030432,ns,8751471691.333334,8752388620.55,ns,40169521.65,44859508.2,ns,8720022.191875208,9050742.45,tokens/sec,571.2048768030431,tokens/sec,114.26709593331061,114.35270587649565,tokens,1000.0,1000.0,tokens,199.6,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,5,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,3.8201718123087236,ns,13077773625.25125,13159556931.05,ns,297067583.5725,372673097.14999974,ns,12793504.384076187,14435464.0,tokens/sec,3820.1718123087235,tokens/sec,76.46652485856055,76.66244121212897,tokens,1000.0,1000.0,tokens,199.66,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,50,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.23480402237346568,ns,8516903849.04,8518259575.2,ns,32353036.92,37837278.75,ns,8493043.855975976,8760299.55,tokens/sec,234.80402237346567,tokens/sec,117.41358631844791,117.45392203411137,tokens,1000.0,1000.0,tokens,199.58,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,2,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.11981369220726037,ns,8345598200.32,8349466340.6,ns,21427707.88,21930948.8,ns,8332502.995435435,8569649.0,tokens/sec,119.81369220726037,tokens/sec,119.82367246195088,119.86728406468256,tokens,1000.0,1000.0,tokens,199.44,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,1,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,6.523084755953516,ns,38240909630.912,38422860732.55,ns,1242919287.3325715,1857172009.1,ns,37035030.31130688,50128890.0,tokens/sec,6523.084755953516,tokens/sec,26.15032727340755,26.271007992382902,tokens,1000.0,1000.0,tokens,199.6577142857143,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,250,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,5.785108911043358,ns,25893770793.04727,25987960150.9,ns,760110124.0333333,1114420654.75,ns,25158838.978535194,30614597.0,tokens/sec,5785.108911043359,tokens/sec,38.61949946536268,38.715812236117,tokens,1000.0,1000.0,tokens,199.65757575757576,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,150,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.572287274356423,ns,8735829636.591667,8737638690.45,ns,52562115.641666666,58938075.3,ns,8691959.48043043,9065119.0,tokens/sec,572.287274356423,tokens/sec,114.47114515304412,114.52402764941782,tokens,1000.0,1000.0,tokens,199.6,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,5,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.0858069192196032,ns,9207780892.382608,9210587279.6,ns,85536755.41304348,92989417.35,ns,9131375.512482047,9698802.549999999,tokens/sec,1085.8069192196033,tokens/sec,108.603867921296,108.6627931085753,tokens,1000.0,1000.0,tokens,199.63478260869564,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,10,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,4.897956738105107,ns,20389498270.20357,20450568548.5,ns,414747584.25285715,729068731.0,ns,19994683.77486488,22699999.599999998,tokens/sec,4897.9567381051065,tokens/sec,49.0451806561618,49.2090767439069,tokens,1000.0,1000.0,tokens,199.66,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,100,200,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.3476861862743927,ns,10644907284.984,10653935176.4,ns,118977292.074,157604120.5,ns,10536470.05048149,11330810.55,tokens/sec,2347.6861862743926,tokens/sec,93.94199768588406,94.03055566259678,tokens,1000.0,1000.0,tokens,199.66,200.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,25,200,0,1000
